City ID,City,Country,Date,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed
277,Turbat,PK,2022-04-04 02:28:39,26.0023,63.044,78.15,34,53,0.6
278,Riyadh,SA,2022-04-04 02:20:44,24.6877,46.7219,66.34,13,63,4.14
279,Adrar,MR,2022-04-04 02:23:34,20.5022,-10.0711,70.72,15,0,10.4
280,Platanos,GR,2022-04-04 02:28:40,37.6667,21.6167,50.09,68,100,4.52
281,Naron,ES,2022-04-04 02:28:40,43.5167,-8.1528,46.02,65,11,13.8
282,Takoradi,GH,2022-04-04 02:21:45,4.8845,-1.7554,80.8,87,86,10.74
283,Jesus De Otoro,HN,2022-04-04 02:28:40,14.4833,-87.9833,72.7,54,90,1.48
284,Soyo,AO,2022-04-04 02:22:44,-6.1349,12.3689,77.72,90,92,3.56
285,Naziya,RU,2022-04-04 02:28:40,59.8,31.3833,28.54,1,61,4.41
286,Buraydah,SA,2022-04-04 02:23:08,26.326,43.975,66.65,13,89,7.49
287,Kontagora,NG,2022-04-04 02:28:41,10.3999,5.4695,82.96,41,100,6.46
288,Jutai,BR,2022-04-04 02:23:52,-5.1833,-68.9,74.7,88,100,1.59
289,Walvis Bay,NA,2022-04-04 02:22:24,-22.9575,14.5053,59.09,82,0,3.44
290,Banfora,BF,2022-04-04 02:28:41,10.6333,-4.7667,85.48,47,100,3.78
291,Ambovombe,MG,2022-04-04 02:22:59,-25.1667,46.0833,71.2,90,0,8.23
